hd,rno,combo,payout
20260524,2,1-4-3,1170
20260524,3,4-2-3,14780
20260524,4,6-1-4,24040
20260524,5,6-2-5,32310
20260524,6,1-6-5,2450
20260524,7,1-5-3,1720
20260524,8,1-5-3,1290
20260524,9,1-6-4,3660
20260524,10,1-2-4,1390
20260524,11,3-5-2,17700
20260524,12,1-3-5,2070
20260528,1,2-3-1,2850
20260528,2,3-2-6,16810
20260528,3,3-2-1,5600
20260528,4,3-6-2,2700
20260528,5,1-2-4,7140
20260528,6,1-3-4,410
20260528,7,2-4-3,10780
20260528,8,5-4-3,10520
20260528,9,1-4-2,2100
20260528,10,2-3-1,8880
20260528,11,1-2-4,1700
20260528,12,1-3-2,1430
20260530,1,1-4-3,4490
20260530,2,2-1-6,1920
20260530,3,4-6-1,1680
20260530,4,2-5-4,6600
20260530,5,1-4-5,1660
20260530,6,1-4-3,1010
20260530,7,1-3-2,640
20260530,8,3-5-6,5910
20260530,9,1-2-5,730
20260530,10,1-2-5,1070
20260530,11,1-2-5,860
20260530,12,1-4-2,6030
20260531,1,6-3-1,4150
20260531,2,3-2-4,4680
20260531,3,1-4-2,1370
20260531,4,1-2-5,11420
20260531,5,3-2-1,5510
20260531,6,3-1-5,34940
20260531,7,1-3-2,610
20260531,8,1-4-2,950
20260531,9,2-4-6,7120
20260531,10,1-2-6,1980
20260531,11,2-3-1,4510
20260531,12,1-5-2,600
20260601,1,1-2-3,890
20260601,2,2-4-5,6190
20260601,3,3-5-4,4470
20260601,4,5-4-6,2550
20260601,5,1-6-4,2390
20260601,6,4-1-6,3070
20260601,7,1-4-2,1780
20260601,8,4-2-1,15550
20260601,9,2-1-5,3800
20260601,10,1-2-5,1830
20260601,11,3-1-5,6530
20260601,12,1-3-2,660
20260602,1,3-5-2,6890
20260602,2,1-4-3,1190
20260602,3,3-2-5,13150
20260602,4,1-3-5,1770
20260602,5,2-6-3,5200
20260602,6,2-1-4,11080
20260602,7,1-5-3,1800
20260602,8,1-3-4,4770
20260602,9,1-2-4,1400
20260602,10,3-5-4,33460
20260602,11,1-3-2,910
20260602,12,1-2-3,770
20260605,1,3-1-2,3310
20260605,2,3-4-6,6510
20260605,3,1-5-2,23000
20260605,4,2-1-4,1980
20260605,5,2-1-5,7720
20260605,6,1-5-3,2430
20260605,7,1-2-3,1200
20260605,8,5-4-1,3280
20260605,9,4-5-1,5230
20260605,10,4-1-2,2760
20260605,11,1-4-3,2720
20260605,12,5-4-6,11940
20260606,1,5-3-6,36590
20260606,2,5-3-1,19490
20260606,3,5-2-3,4390
20260606,4,3-1-5,1810
20260606,5,2-4-1,7030
20260606,6,1-4-6,2570
20260606,7,3-1-6,840
20260606,8,1-3-2,5620
20260606,9,4-5-1,2560
20260606,10,1-2-3,1250
20260606,11,1-2-4,1110
20260606,12,3-4-6,119170
20260607,1,3-5-4,4130
20260607,2,3-1-4,13660
20260607,3,4-3-2,7230
20260607,4,3-1-5,4220
20260607,5,2-4-3,9480
20260607,6,1-5-4,6790
20260607,7,4-5-6,77480
20260607,8,1-5-3,960
20260607,9,1-3-2,780
20260607,10,1-6-2,2080
20260607,11,1-5-6,21020
20260607,12,1-6-2,5290
20260608,1,1-3-4,2300
20260608,2,4-1-2,6690
20260608,3,3-1-4,6220
20260608,4,1-4-2,2940
20260608,5,1-3-2,2250
20260608,6,6-4-5,80060
20260608,7,3-1-4,1190
20260608,8,3-5-2,2690
20260608,9,1-2-3,790
20260608,10,1-2-6,2380
20260608,11,3-4-6,10990
20260608,12,1-4-5,910
20260609,1,1-3-2,1030
20260609,2,3-1-2,6820
20260609,3,1-5-6,2130
20260609,4,1-3-6,2720
20260609,5,1-2-4,660
20260609,6,1-2-5,690
20260609,7,1-3-5,1080
20260609,8,3-5-2,4380
20260609,9,1-3-4,1560
20260609,10,2-5-1,60650
20260609,11,1-2-5,1180
20260609,12,1-3-6,2310
20260610,1,6-1-4,11640
20260610,2,1-6-2,5350
20260610,3,1-2-6,1740
20260610,4,3-1-5,7370
20260610,5,2-1-3,4050
20260610,6,1-3-2,640
20260610,7,1-2-3,800
20260610,8,2-4-3,20080
20260610,9,1-5-4,1850
20260610,10,1-3-5,1910
20260610,11,1-3-2,950
20260610,12,1-3-5,1650
20260614,1,1-2-6,11900
20260614,2,3-2-4,5590
20260614,3,4-5-3,14450
20260614,4,4-5-2,2390
20260614,5,4-2-5,7830
20260614,6,1-4-2,830
20260614,7,1-3-5,860
20260614,8,1-4-2,8320
20260614,9,1-3-2,610
20260614,10,1-3-4,2460
20260614,11,3-1-5,1870
20260614,12,5-3-1,25830
20260615,1,2-4-6,40060
20260615,2,3-5-1,6640
20260615,3,5-1-6,12400
20260615,4,6-4-2,2350
20260615,5,4-6-5,4130
20260615,6,1-2-6,2280
20260615,7,3-1-4,800
20260615,8,6-5-1,11180
20260615,9,6-3-4,13060
20260615,10,2-1-4,2350
20260615,11,1-4-2,1090
20260615,12,1-2-5,830
20260616,1,1-2-5,3890
20260616,2,1-2-3,1000
20260616,3,1-5-2,770
20260616,4,3-1-2,11600
20260616,5,4-2-1,26460
20260616,6,1-3-4,910
20260616,7,3-1-4,1550
20260616,8,1-2-5,2640
20260616,9,6-1-2,110870
20260616,10,1-3-5,1310
20260616,11,1-4-3,1540
20260617,1,1-2-6,1810
20260617,2,2-1-4,2210
20260617,3,5-6-2,12070
20260617,4,3-6-4,10650
20260617,5,5-6-1,4180
20260617,6,1-3-5,1310
20260617,7,5-1-4,48900
20260617,8,3-5-6,7050
20260617,9,1-2-6,4140
20260617,10,1-3-6,3740
20260617,11,1-4-5,4920
20260617,12,1-5-3,1020
20260618,1,2-5-3,6150
20260618,2,1-4-6,1690
20260618,3,1-3-4,1250
20260618,4,5-2-4,21370
20260618,5,1-5-4,13500
20260618,6,6-2-3,213090
20260618,7,1-5-6,4710
20260618,8,1-4-3,6760
20260618,9,1-3-2,1300
20260618,10,1-3-4,1070
20260618,11,1-2-5,2660
20260618,12,1-2-4,690
20260625,1,3-4-5,15800
20260625,2,1-2-4,1790
20260625,3,3-1-4,4470
20260625,4,5-3-2,28430
20260625,5,1-3-4,1550
20260625,6,5-1-3,7270
20260625,7,1-5-4,20490
20260625,8,5-1-6,4840
20260625,9,4-1-2,5230
20260625,10,4-2-1,3500
20260625,11,1-2-3,1000
20260625,12,2-1-3,3940
20260626,1,1-4-6,5000
20260626,2,5-2-6,17790
20260626,3,1-5-6,4450
20260626,4,3-5-4,10810
20260626,5,3-4-6,1050
20260626,6,1-3-2,710
20260626,7,1-5-3,1750
20260626,8,1-3-5,1230
20260626,9,1-2-5,4410
20260626,10,1-2-3,980
20260626,11,2-1-4,3480
20260626,12,3-1-6,11840
20260627,1,2-5-1,37090
20260627,2,4-1-2,3920
20260627,3,5-1-2,10790
20260627,4,4-2-5,12660
20260627,5,4-1-2,6450
20260627,6,1-2-5,2730
20260627,7,1-3-4,1510
20260627,8,4-5-6,8540
20260627,9,4-3-2,19860
20260627,10,1-3-2,1560
20260627,11,1-3-2,530
20260627,12,3-1-6,4840
20260628,1,3-6-4,1800
20260628,2,1-5-2,6570
20260628,3,4-1-5,17860
20260628,4,5-6-1,8350
20260628,5,2-1-4,1430
20260628,6,1-4-6,1440
20260628,7,1-3-2,980
20260628,8,5-6-1,4320
20260628,9,2-3-5,5290
20260628,10,1-3-5,4250
20260628,11,1-2-4,890
20260628,12,1-4-5,5860
20260629,1,1-2-3,1160
20260629,2,1-2-3,2330
20260629,3,1-5-3,900
20260629,4,1-2-4,3300
20260629,5,1-6-2,4580
20260629,6,1-2-4,410
20260629,7,1-2-6,2550
20260629,8,1-2-6,1860
20260629,9,2-1-3,4340
20260629,10,1-2-4,800
20260629,11,1-3-2,1350
20260629,12,1-2-4,870
20260630,1,3-6-5,29510
20260630,2,1-4-5,3150
20260630,3,6-5-1,8790
20260630,4,6-1-2,22030
20260630,5,1-3-4,1380
20260630,6,1-2-3,970
20260630,7,1-3-2,540
20260630,8,2-3-1,11440
20260630,9,2-6-1,15200
20260630,10,1-4-3,2100
20260630,11,1-3-5,1760
20260630,12,3-6-1,57560
