登録番号,集計開始,集計終了,出走数,1着数,逃げ,差し,まくり,まくり差し,抜き,恵まれ,まくり率,差し率,前づけ平均,前づけ率,イン進入数,さされ率,まくられ率,まくりさされ率
5329,2025-12-31,2026-07-01,83,9,4,0,1,4,0,0,11.1,0.0,0.01,0.0,11,18.2,36.4,0.0
5330,2025-12-31,2026-07-01,145,41,21,2,8,6,3,1,19.5,4.9,0.04,0.8,26,3.8,7.7,3.8
5331,2025-12-31,2026-07-01,90,13,7,1,3,1,0,1,23.1,7.7,-0.15,0.0,14,21.4,7.1,21.4
5332,2025-12-31,2026-07-01,91,9,8,1,0,0,0,0,0.0,11.1,0.01,1.2,15,13.3,13.3,20.0
5333,2025-12-31,2026-07-01,54,7,4,1,0,1,1,0,0.0,14.3,-0.04,0.0,6,16.7,0.0,0.0
5334,2025-12-31,2026-07-01,108,2,1,0,0,0,1,0,0.0,0.0,-0.05,0.0,12,25.0,41.7,16.7
5335,2025-12-31,2026-07-01,79,2,2,0,0,0,0,0,0.0,0.0,-0.1,0.0,5,0.0,60.0,0.0
5336,2025-12-31,2026-07-01,112,3,2,1,0,0,0,0,0.0,33.3,-0.14,0.0,10,20.0,40.0,20.0
5337,2025-12-31,2026-07-01,102,4,0,0,0,4,0,0,0.0,0.0,-0.02,0.0,0,,,
5338,2025-12-31,2026-07-01,105,6,2,1,3,0,0,0,50.0,16.7,-0.05,0.0,8,25.0,0.0,50.0
5339,2025-12-31,2026-07-01,91,14,2,4,0,6,2,0,0.0,28.6,-0.08,0.0,14,21.4,35.7,14.3
5340,2025-12-31,2026-07-01,120,8,1,1,0,5,1,0,0.0,12.5,-0.03,0.0,6,0.0,66.7,16.7
5341,2025-12-31,2026-07-01,76,2,1,0,1,0,0,0,50.0,0.0,-0.13,0.0,4,0.0,25.0,25.0
5342,2025-12-31,2026-07-01,65,1,0,0,1,0,0,0,100.0,0.0,-0.11,0.0,1,0.0,100.0,0.0
5343,2025-12-31,2026-07-01,92,2,1,0,0,1,0,0,0.0,0.0,-0.01,0.0,3,33.3,0.0,33.3
5344,2025-12-31,2026-07-01,104,13,4,1,4,2,1,1,30.8,7.7,-0.11,0.0,11,9.1,36.4,9.1
5345,2025-12-31,2026-07-01,119,4,2,0,0,0,1,1,0.0,0.0,-0.13,0.0,9,44.4,22.2,11.1
5346,2025-12-31,2026-07-01,86,0,0,0,0,0,0,0,,,-0.01,0.0,4,0.0,50.0,0.0
5347,2025-12-31,2026-07-01,74,0,0,0,0,0,0,0,,,-0.07,0.0,0,,,
5348,2025-12-31,2026-07-01,86,7,0,1,1,3,1,1,14.3,14.3,-0.04,1.2,3,33.3,33.3,33.3
5349,2025-12-31,2026-07-01,83,1,0,0,0,1,0,0,0.0,0.0,-0.16,0.0,2,0.0,100.0,0.0
5350,2025-12-31,2026-07-01,113,11,3,1,3,3,1,0,27.3,9.1,-0.13,0.0,15,20.0,26.7,26.7
5351,2025-12-31,2026-07-01,116,14,8,3,0,2,0,1,0.0,21.4,-0.05,0.0,16,6.2,37.5,6.2
5352,2025-12-31,2026-07-01,117,17,8,1,3,4,0,1,17.6,5.9,-0.04,0.0,16,0.0,37.5,6.2
5353,2025-12-31,2026-07-01,85,3,0,0,0,2,1,0,0.0,0.0,-0.19,0.0,4,50.0,0.0,25.0
5354,2025-12-31,2026-07-01,80,5,0,2,0,2,1,0,0.0,40.0,-0.09,0.0,3,66.7,33.3,0.0
5355,2025-12-31,2026-07-01,83,0,0,0,0,0,0,0,,,-0.17,0.0,6,16.7,50.0,16.7
5356,2025-12-31,2026-07-01,80,13,6,2,1,3,1,0,7.7,15.4,0.03,1.4,12,0.0,25.0,25.0
5357,2025-12-31,2026-07-01,86,0,0,0,0,0,0,0,,,-0.35,0.0,10,0.0,80.0,20.0
5358,2025-12-31,2026-07-01,37,0,0,0,0,0,0,0,,,-0.21,0.0,1,0.0,0.0,100.0
5359,2025-12-31,2026-07-01,94,12,3,1,6,2,0,0,50.0,8.3,-0.07,0.0,12,41.7,25.0,8.3
5360,2025-12-31,2026-07-01,85,3,3,0,0,0,0,0,0.0,0.0,-0.05,0.0,8,12.5,50.0,0.0
5361,2025-12-31,2026-07-01,82,1,0,0,1,0,0,0,100.0,0.0,-0.1,1.2,3,0.0,66.7,33.3
